Date,Target Invites,Messages Sent,Message Reply Rate,Follow-up Messages Sent,Emails Sent,Email Open Rate,Sample Requests,Samples Shipped,Videos Posted,Affiliate GMV,Total GMV,Orders,AOV,Ad Spend
2026-04-24,3803,3793,0.10545742156604272,844,0,0,71,50,0,48,0,3,16,0
2026-04-23,1060,1058,0.0945179584120983,0,0,0,13,8,0,49.37,795.34,4,12.3425,0
2026-04-22,1095,4056,0.3205128205128205,0,0,0,59,0,0,41.9,643.59,2,20.95,0
2026-04-21,904,904,0.11061946902654868,0,0,0,5,0,0,22,409.5,1,22,0
2026-04-20,0,0,0,0,0,0,0,0,0,47,456.99,2,23.5,0
2026-04-19,0,0,0,0,0,0,0,0,0,0,1401.84,0,0,0
2026-04-18,0,0,0,0,0,0,0,0,0,69.25,2629.85,3,23.083333333333332,0
2026-04-17,0,0,0,0,0,0,0,0,0,0,879.02,0,0,0
2026-04-16,0,0,0,0,0,0,0,0,0,0,457.99,0,0,0
2026-04-15,0,0,0,0,0,0,0,0,0,71.52,910.51,3,23.84,0
2026-04-14,0,0,0,0,0,0,0,0,0,47.61,2404.81,2,23.805,0
2026-04-13,0,0,0,0,0,0,0,0,0,0,1451.99,0,0,0
2026-04-12,0,0,0,0,0,0,0,0,0,15,1222.28,1,15,0
2026-04-11,0,0,0,0,0,0,0,0,0,0,1360.8,0,0,0
2026-04-10,0,0,0,0,0,0,0,0,0,25,1378.38,1,25,0
2026-04-09,0,0,0,0,0,0,0,0,0,0,1585.01,0,0,0
2026-04-08,0,0,0,0,0,0,0,0,0,0,2345.8,0,0,0
2026-04-07,0,0,0,0,0,0,0,0,0,0,2196.48,0,0,0
2026-04-06,0,0,0,0,0,0,0,0,0,0,1853.97,0,0,0
2026-04-05,0,0,0,0,0,0,0,0,0,0,1580.01,0,0,0
2026-04-04,0,0,0,0,0,0,0,0,0,0,2313.23,0,0,0
2026-04-03,0,0,0,0,0,0,0,0,0,0,2121.14,0,0,0
2026-04-02,0,0,0,0,0,0,0,0,0,0,2146.87,0,0,0
2026-04-01,0,0,0,0,0,0,0,0,0,0,507.7,0,0,0
2026-03-31,0,0,0,0,0,0,0,0,0,0,2428.41,0,0,0
2026-03-30,0,0,0,0,0,0,0,0,0,0,3136.75,0,0,0
2026-03-29,0,0,0,0,0,0,0,0,0,0,2810.19,0,0,0
2026-03-28,0,0,0,0,0,0,0,0,0,0,1101.26,0,0,0
2026-03-27,0,0,0,0,0,0,0,0,0,0,1679.11,0,0,0
2026-03-26,0,0,0,0,0,0,0,0,0,0,1265.62,0,0,0
